kod_obce,nazev_obce,volici_v_seznamu,vydane_obalky,platne_hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD)
534714,Býkev,341,212,210,14,0,0,20,0,7,24,5,1,9,0,0,0,0,9,73,1,0,2,0,0,1,2,28
534722,Byšice,1 061,630,626,96,3,1,31,0,38,50,4,7,11,0,1,0,0,20,182,0,5,18,0,3,4,3,77
534731,Cítov,923,575,569,52,1,0,42,1,39,52,2,2,8,2,1,0,3,26,159,0,1,20,0,3,1,2,95
598291,Čakovičky,461,321,320,64,0,0,14,1,13,2,1,3,10,1,0,0,0,33,95,0,0,7,0,1,0,0,24
534749,Čečelice,513,296,295,36,1,1,26,1,11,25,6,2,6,0,0,0,0,11,92,0,0,8,0,0,1,0,22
531570,Dobřeň,149,98,98,13,0,0,3,0,8,3,3,3,4,0,0,1,0,9,19,0,0,5,0,1,0,1,9
539201,Dolany nad Vltavou,683,479,475,43,0,0,35,0,59,42,2,2,1,0,0,0,3,33,121,0,0,17,0,3,0,2,28
534765,Dolní Beřkovice,1 154,644,642,92,0,0,55,0,40,57,1,4,11,1,1,0,0,23,206,0,1,8,0,1,5,0,77
531987,Dolní Zimoř,70,49,48,2,0,0,0,1,4,5,0,1,2,0,0,0,0,4,18,0,0,3,0,0,0,1,1
534773,Dřínov,366,197,194,12,1,0,8,0,19,22,0,1,1,0,0,0,0,4,66,0,1,0,0,0,1,0,28
534790,Horní Počaply,966,554,547,67,0,0,48,0,17,67,5,9,8,1,0,0,3,13,176,2,3,13,0,4,2,0,68
534803,Hořín,644,381,379,62,0,1,16,0,24,38,4,3,5,1,2,1,1,9,122,0,0,4,0,7,1,2,48
531499,Hostín,238,154,154,30,0,0,8,0,18,7,1,1,4,0,0,0,0,4,52,1,0,1,0,0,1,0,9
531928,Hostín u Vojkovic,273,139,139,24,0,0,13,0,10,7,0,0,1,0,1,0,0,3,54,0,0,3,2,0,1,0,12
534820,Chlumín,395,213,212,14,1,0,5,0,10,26,5,0,4,0,0,0,1,5,91,0,1,3,0,3,0,0,20
534838,Chorušice,442,244,244,30,0,0,12,0,19,34,6,1,0,0,0,0,1,2,86,0,1,4,0,0,1,2,30
534846,Chvatěruby,433,261,261,27,0,0,11,0,18,32,5,0,4,2,0,0,0,10,96,0,0,1,0,0,0,0,27
531871,Jeviněves,172,123,122,18,0,0,5,0,8,20,5,3,0,0,0,0,0,0,33,0,0,4,0,1,0,0,10
531774,Kadlín,114,79,79,12,0,0,8,0,2,17,1,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,12
531651,Kanina,72,50,50,4,0,0,1,0,4,7,0,0,1,0,0,0,0,4,16,0,0,1,0,1,0,0,8
534897,Kly,1 117,674,673,80,1,0,35,0,39,43,13,11,16,2,1,1,1,51,202,2,2,10,0,5,2,5,69
538345,Kojetice,599,378,375,57,1,0,17,0,38,29,5,1,6,0,0,0,2,19,121,0,0,7,0,1,0,0,26
534901,Kokořín,318,183,181,20,0,0,16,0,8,19,6,1,10,0,0,0,0,3,44,0,0,5,0,2,0,0,30
